iter	Passed	Remaining
629	927	544
630	928	542
631	929	541
632	930	539
633	931	537
634	932	536
635	933	534
636	934	532
637	935	531
638	936	529
639	938	527
640	939	526
641	940	524
642	941	522
643	942	521
644	943	519
645	944	517
646	945	516
647	947	514
648	948	512
649	949	511
650	950	509
651	951	508
652	953	506
653	954	504
654	955	503
655	956	501
656	957	499
657	958	498
658	959	496
659	960	494
660	961	493
661	963	491
662	964	490
663	965	488
664	966	486
665	967	485
666	969	483
667	970	482
668	971	480
669	972	478
670	973	477
671	974	475
672	975	474
673	976	472
674	977	470
675	978	469
676	980	467
677	981	465
678	982	464
679	983	462
680	984	461
681	985	459
682	986	458
683	988	456
684	990	455
685	991	453
686	992	452
687	993	450
688	995	449
689	996	447
690	998	446
691	1000	445
692	1002	443
693	1003	442
694	1004	440
695	1006	439
696	1007	437
697	1008	436
698	1010	434
699	1011	433
700	1012	432
701	1014	430
702	1015	429
703	1016	427
704	1018	425
705	1019	424
706	1020	422
707	1022	421
708	1023	419
709	1024	418
710	1025	416
711	1026	415
712	1028	414
713	1030	412
714	1031	411
715	1032	409
716	1033	408
717	1037	407
718	1038	405
719	1039	404
720	1040	402
721	1042	401
722	1043	399
723	1044	398
724	1045	396
725	1047	395
726	1049	393
727	1050	392
728	1051	390
729	1052	389
730	1054	387
731	1055	386
732	1057	385
733	1058	383
734	1059	382
735	1061	380
736	1062	379
737	1063	377
738	1064	376
739	1066	374
740	1067	373
741	1068	371
742	1069	370
743	1071	368
744	1072	367
745	1074	365
746	1075	364
747	1076	362
748	1077	361
749	1079	359
750	1082	358
751	1083	357
752	1085	356
753	1086	354
754	1088	353
755	1089	351
756	1090	350
757	1092	348
758	1093	347
759	1095	345
760	1097	344
761	1098	343
762	1099	341
763	1100	340
764	1102	338
765	1103	337
766	1105	335
767	1106	334
768	1107	332
769	1108	331
770	1109	329
771	1111	328
772	1112	326
773	1113	325
774	1114	323
775	1115	322
776	1116	320
777	1118	319
778	1119	317
779	1120	316
780	1121	314
781	1123	313
782	1125	311
783	1127	310
784	1128	309
785	1129	307
786	1130	306
787	1132	304
788	1133	303
789	1134	301
790	1135	300
791	1137	298
792	1138	297
793	1139	295
794	1140	294
795	1141	292
796	1143	291
797	1144	289
798	1145	288
799	1146	286
800	1147	285
801	1148	283
802	1149	282
803	1151	280
804	1152	279
805	1153	277
806	1154	276
807	1156	274
808	1157	273
809	1158	271
810	1159	270
811	1160	268
812	1161	267
813	1163	265
814	1165	264
815	1166	263
816	1167	261
817	1169	260
818	1171	258
819	1172	257
820	1173	255
821	1175	254
822	1176	253
823	1177	251
824	1179	250
825	1180	248
826	1181	247
827	1183	245
828	1184	244
829	1186	242
830	1187	241
831	1188	239
832	1189	238
833	1190	237
834	1192	235
835	1193	234
836	1194	232
837	1195	231
838	1197	229
839	1198	228
840	1199	226
841	1200	225
842	1202	223
843	1203	222
844	1204	220
845	1205	219
846	1206	217
847	1207	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1213	209
853	1215	207
854	1216	206
855	1217	204
856	1218	203
857	1220	201
858	1221	200
859	1222	199
860	1223	197
861	1225	196
862	1226	194
863	1227	193
864	1228	191
865	1229	190
866	1230	188
867	1232	187
868	1233	185
869	1234	184
870	1235	183
871	1237	181
872	1238	180
873	1240	178
874	1241	177
875	1242	175
876	1243	174
877	1245	173
878	1246	171
879	1248	170
880	1249	168
881	1250	167
882	1252	165
883	1253	164
884	1254	163
885	1255	161
886	1256	160
887	1258	158
888	1259	157
889	1261	155
890	1262	154
891	1264	153
892	1265	151
893	1266	150
894	1268	148
895	1269	147
896	1270	145
897	1271	144
898	1272	142
899	1273	141
900	1275	140
901	1277	138
902	1278	137
903	1279	135
904	1280	134
905	1281	132
906	1283	131
907	1284	130
908	1285	128
909	1286	127
910	1287	125
911	1288	124
912	1290	122
913	1291	121
914	1292	120
915	1293	118
916	1295	117
917	1296	115
918	1298	114
919	1299	113
920	1301	111
921	1302	110
922	1303	108
923	1305	107
924	1306	105
925	1307	104
926	1308	103
927	1310	101
928	1311	100
929	1312	98
930	1314	97
931	1315	95
932	1316	94
933	1317	93
934	1319	91
935	1320	90
936	1322	88
937	1323	87
938	1324	86
939	1326	84
940	1327	83
941	1329	81
942	1330	80
943	1331	78
944	1332	77
945	1334	76
946	1335	74
947	1336	73
948	1338	71
949	1339	70
950	1340	69
951	1342	67
952	1343	66
953	1344	64
954	1346	63
955	1347	62
956	1348	60
957	1350	59
958	1351	57
959	1352	56
960	1353	54
961	1354	53
962	1356	52
963	1357	50
964	1359	49
965	1360	47
966	1361	46
967	1363	45
968	1364	43
969	1365	42
970	1367	40
971	1368	39
972	1369	37
973	1370	36
974	1372	35
975	1373	33
976	1374	32
977	1375	30
978	1376	29
979	1378	28
980	1379	26
981	1380	25
982	1381	23
983	1382	22
984	1383	21
985	1385	19
986	1386	18
987	1387	16
988	1388	15
989	1389	14
990	1390	12
991	1391	11
992	1392	9
993	1394	8
994	1395	7
995	1396	5
996	1397	4
997	1398	2
998	1400	1
999	1401	0
